dwell_mean,dwell_std,flight_mean,flight_std,score
0.3166,0.1968,0.6115,0.2961,0.7783
0.2876,0.1278,0.6298,0.0889,0.7478
1.0296,1.4613,1.5130,1.5872,0.9742
1.0296,1.4613,1.5130,1.5872,0.9742
0.4205,0.1689,0.8597,0.0801,0.7845
2.2903,3.6311,3.1527,3.9702,0.9996
0.1606,0.0368,0.3404,0.0436,0.6877
0.1901,0.1121,0.3428,0.1039,0.7058
0.2637,0.0823,0.5260,0.0763,0.7282
0.2637,0.0823,0.5260,0.0763,0.7282
0.1459,0.0148,0.2914,0.0241,0.6751
0.2693,0.1396,0.6128,0.1199,0.7492
0.2693,0.1396,0.6128,0.1199,0.7492
0.2125,0.1147,0.3835,0.1396,0.7178
0.2156,0.1129,0.3876,0.1364,0.7179
0.2269,0.1034,0.4150,0.0550,0.7105
0.2269,0.1034,0.4150,0.0550,0.7105
0.2064,0.0972,0.4017,0.0600,0.7073
0.2064,0.0972,0.4017,0.0600,0.7073
0.3081,0.2858,0.7373,0.3543,0.8028
0.1583,0.0619,0.3490,0.0744,0.6953
0.2618,0.2034,0.4684,0.1956,0.7465
0.2618,0.2034,0.4684,0.1956,0.7465
0.1556,0.0234,0.3216,0.0314,0.6818
0.1556,0.0234,0.3216,0.0314,0.6818
0.1660,0.0734,0.3663,0.0662,0.6981
0.1660,0.0734,0.3663,0.0662,0.6981
0.2094,0.1637,0.4848,0.1640,0.7373
0.2094,0.1637,0.4848,0.1640,0.7373
0.3276,0.2327,0.6551,0.3424,0.7918
0.3276,0.2327,0.6551,0.3424,0.7918
0.1663,0.0407,0.3137,0.0392,0.6845
7.5559,12.2359,19.8834,13.3897,1.0000
0.2657,0.0493,0.5364,0.0336,0.7212
0.2402,0.1911,0.3958,0.1863,0.7342
31.4494,54.1687,83.7753,58.9602,1.0000
31.4494,54.1687,83.7753,58.9602,1.0000
0.1611,0.0202,0.3220,0.0023,0.6779
0.1611,0.0213,0.3227,0.0025,0.6781
0.1566,0.2113,0.2279,0.2295,0.7141
0.1566,0.2113,0.2279,0.2295,0.7141
0.0307,0.0016,0.0622,0.0011,0.6271
0.0307,0.0016,0.0622,0.0011,0.6271
0.0315,0.0019,0.0618,0.0017,0.6273
0.0315,0.0047,0.0639,0.0025,0.6280
0.0289,0.0027,0.0591,0.0036,0.6270
0.0289,0.0027,0.0591,0.0036,0.6270
0.0306,0.0022,0.0600,0.0017,0.6270
0.0306,0.0022,0.0600,0.0017,0.6270
0.0318,0.0032,0.0618,0.0035,0.6277
0.0318,0.0032,0.0618,0.0035,0.6277
0.0342,0.0057,0.0701,0.0074,0.6301
0.0342,0.0057,0.0701,0.0074,0.6301
1.2817,2.1677,1.7290,2.3598,0.9914
1.2817,2.1677,1.7290,2.3598,0.9914
0.0521,0.0405,0.1312,0.0381,0.6489
0.0521,0.0405,0.1312,0.0381,0.6489
0.0609,0.0317,0.1016,0.0286,0.6433
0.0609,0.0311,0.1019,0.0282,0.6432
0.3146,0.2892,0.6040,0.4655,0.8049
0.3146,0.2900,0.6040,0.4670,0.8051
0.0342,0.0094,0.0658,0.0037,0.6292
0.0342,0.0094,0.0658,0.0037,0.6292
0.0312,0.0021,0.0620,0.0022,0.6274
0.0317,0.0023,0.0626,0.0030,0.6277
3.4721,5.8000,9.1457,6.4233,1.0000
3.4721,5.8000,9.1457,6.4233,1.0000
0.3334,0.3330,0.5511,0.3817,0.7951
0.2057,0.1138,0.3557,0.1085,0.7095
0.1795,0.0314,0.3468,0.0388,0.6890
0.2381,0.1195,0.4229,0.1464,0.7259
0.2832,0.1236,0.5254,0.0635,0.7315
0.3040,0.1237,0.5836,0.1442,0.7501
0.2531,0.0667,0.5267,0.0843,0.7271
0.2447,0.0702,0.4626,0.0741,0.7175
0.3486,0.3737,0.8107,0.3912,0.8222
0.4508,0.3777,0.9817,0.1553,0.8203
0.8573,0.9272,2.0034,0.8727,0.9552
1.1279,0.8579,1.7612,0.7475,0.9504
0.5093,0.3154,0.9384,0.4701,0.8482
0.4971,0.3253,1.1886,0.3266,0.8526
0.3035,0.0863,0.6476,0.1072,0.7499
0.3000,0.0900,0.6391,0.1190,0.7504
0.3402,0.1159,0.6799,0.1689,0.7659
0.2720,0.0800,0.5210,0.1205,0.7337
0.6854,0.8836,1.7042,0.9892,0.9465
0.6701,0.8949,0.9937,0.9737,0.9211
0.1588,0.0076,0.3191,0.0110,0.6774
0.1582,0.0093,0.3212,0.0116,0.6778
1.8262,2.6990,4.6457,2.9562,0.9994
1.7425,2.7485,2.4789,2.9382,0.9977
1.4775,2.1560,3.8846,2.3572,0.9977
1.4775,2.1574,3.8861,2.3599,0.9977
0.2525,0.1718,0.5834,0.1760,0.7541
0.2442,0.0449,0.4874,0.0560,0.7159
0.2442,0.0449,0.4874,0.0560,0.7159
0.3863,0.3862,0.7003,0.5862,0.8374
0.3863,0.3862,0.7003,0.5862,0.8374
0.0299,0.0033,0.0582,0.0042,0.6271
0.0299,0.0033,0.0582,0.0042,0.6271
0.0305,0.0007,0.0613,0.0004,0.6268
0.0305,0.0007,0.0613,0.0004,0.6268
0.0340,0.0055,0.0687,0.0081,0.6300
0.0340,0.0055,0.0687,0.0081,0.6300
0.0300,0.0020,0.0612,0.0017,0.6270
0.0301,0.0018,0.0613,0.0016,0.6271
1.1994,1.0976,2.9338,1.2514,0.9839
0.1963,0.1422,0.3296,0.1918,0.7192
0.3209,0.1300,0.6470,0.1986,0.7655
0.1797,0.0464,0.3844,0.0486,0.6967
0.1797,0.0459,0.3844,0.0478,0.6965
0.2202,0.1143,0.3952,0.1567,0.7220
0.2204,0.1147,0.3955,0.1571,0.7222
0.2087,0.0608,0.4224,0.0818,0.7098
0.2087,0.0607,0.4222,0.0818,0.7098
0.4671,0.4726,0.7307,0.5395,0.8461
0.4672,0.4727,0.7309,0.5420,0.8464
0.2335,0.1358,0.3991,0.1455,0.7240
0.2320,0.1333,0.3972,0.1428,0.7231
0.2266,0.0708,0.4228,0.0522,0.7082
0.2266,0.0709,0.4232,0.0518,0.7082
0.1420,0.0431,0.2808,0.0444,0.6790
0.4913,0.5852,1.1954,0.6294,0.8899
0.4913,0.5852,1.1954,0.6294,0.8899
0.1718,0.0460,0.3513,0.0286,0.6889
0.1718,0.0460,0.3513,0.0286,0.6889
0.1895,0.0302,0.3842,0.0233,0.6925
0.1884,0.0290,0.3826,0.0219,0.6919
0.3075,0.1087,0.6437,0.0448,0.7438
0.3077,0.1068,0.6439,0.0462,0.7438
0.1259,0.0291,0.2415,0.0263,0.6684
0.3471,0.3661,0.8407,0.4145,0.8265
0.3467,0.3663,0.8401,0.4141,0.8264
0.1924,0.1323,0.3235,0.0875,0.7032
0.1919,0.1318,0.3204,0.0907,0.7032
0.2663,0.0899,0.5445,0.1287,0.7380
0.2663,0.0899,0.5445,0.1287,0.7380
0.1351,0.0364,0.2710,0.0512,0.6774
0.1355,0.0362,0.2715,0.0506,0.6774
3.1411,5.1984,4.2675,5.6501,1.0000
3.1411,5.1984,4.2675,5.6512,1.0000
0.1576,0.2125,0.2346,0.2363,0.7160
0.0306,0.0043,0.0615,0.0006,0.6272
0.0306,0.0039,0.0617,0.0008,0.6272
0.1386,0.0655,0.3027,0.0501,0.6845
0.1388,0.0651,0.3030,0.0496,0.6845
0.0945,0.0850,0.1957,0.0181,0.6632
0.0945,0.0850,0.1957,0.0181,0.6632
0.2662,0.2356,0.5388,0.3842,0.7810
0.2662,0.2356,0.5388,0.3842,0.7810
0.2772,0.2178,0.4694,0.2471,0.7558
0.2772,0.2176,0.4693,0.2472,0.7558
0.2344,0.1014,0.5096,0.1182,0.7310
0.2344,0.1017,0.5096,0.1185,0.7311
0.2579,0.0968,0.5582,0.1124,0.7375
0.2579,0.0963,0.5580,0.1122,0.7374
0.6481,0.4408,1.2004,0.4030,0.8749
0.6481,0.4408,1.2004,0.4030,0.8749
0.2201,0.0983,0.4134,0.1292,0.7193
0.2201,0.0983,0.4134,0.1292,0.7193
0.1935,0.0543,0.4120,0.0731,0.7055
0.1935,0.0546,0.4122,0.0733,0.7055
0.2473,0.2571,0.6066,0.2282,0.7693
0.2473,0.2571,0.6064,0.2280,0.7692
0.1902,0.0591,0.4148,0.0506,0.7029
0.1905,0.0587,0.4152,0.0505,0.7029
0.2357,0.0613,0.4956,0.0365,0.7151
0.2357,0.0613,0.4956,0.0365,0.7151
0.2976,0.2143,0.6778,0.2652,0.7813
0.2976,0.2180,0.6778,0.2700,0.7822
0.1557,0.0177,0.3067,0.0206,0.6778
0.1559,0.0176,0.3070,0.0204,0.6778
0.2706,0.2768,0.4513,0.2462,0.7581
0.2706,0.2775,0.4509,0.2465,0.7581
1745648931.31857,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745648961.3241985,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649021.3169973,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649051.329754,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649093.3270442,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649153.3301241,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
0.4090,0.3419,0.7216,0.3354,0.8115
0.9765,1.3685,1.4868,1.6795,0.9738
0.0340,0.0066,0.0704,0.0062,0.6300
0.0300,0.0003,0.0602,0.0002,0.6265
0.0306,0.0009,0.0614,0.0007,0.6269
0.0338,0.0055,0.0658,0.0065,0.6292
0.0305,0.0008,0.0609,0.0009,0.6268
0.0303,0.0007,0.0603,0.0009,0.6267
0.0304,0.0003,0.0606,0.0004,0.6266
0.0340,0.0056,0.0661,0.0072,0.6294
0.0304,0.0006,0.0609,0.0009,0.6268
0.0302,0.0009,0.0606,0.0014,0.6268
0.0340,0.0061,0.0702,0.0064,0.6299
0.0303,0.0008,0.0608,0.0008,0.6268
0.0301,0.0006,0.0605,0.0005,0.6266
0.0338,0.0054,0.0655,0.0064,0.6292
0.0299,0.0008,0.0603,0.0008,0.6267
0.0310,0.0022,0.0624,0.0012,0.6273
0.0304,0.0006,0.0610,0.0009,0.6268
0.0340,0.0053,0.0661,0.0062,0.6293
0.0306,0.0016,0.0619,0.0013,0.6271
0.0305,0.0006,0.0607,0.0005,0.6267
0.2234,0.2420,0.5222,0.3213,0.7681
0.1553,0.0162,0.3008,0.0151,0.6760
0.2777,0.1445,0.4843,0.1616,0.7404
0.1989,0.1191,0.3879,0.1365,0.7172
0.1258,0.0211,0.2394,0.0237,0.6670
0.8034,0.5447,1.5206,0.4941,0.9103
0.4403,0.4225,0.7369,0.4832,0.8362
0.5460,0.4103,1.1956,0.5818,0.8814
0.1840,0.0178,0.3658,0.0286,0.6892
0.3658,0.2365,0.5783,0.2198,0.7730
0.8303,0.7927,1.8435,0.4191,0.9281
0.8881,0.8418,2.0973,0.7179,0.9514
0.3948,0.1646,0.7696,0.1154,0.7770
1.0436,1.2909,2.6521,1.3488,0.9825
0.2470,0.1044,0.5125,0.1585,0.7377
0.2524,0.1174,0.4933,0.0164,0.7185
0.2525,0.0519,0.4790,0.0416,0.7143
0.4612,0.3964,0.7433,0.4314,0.8313
0.3422,0.1194,0.7391,0.1518,0.7708
0.3055,0.2354,0.6979,0.2652,0.7855
0.4071,0.2133,0.8737,0.2367,0.8050
0.6294,0.5310,1.4750,0.5371,0.9025
0.3182,0.1168,0.6826,0.1077,0.7575
0.2008,0.0411,0.4003,0.0669,0.7025
0.2051,0.0827,0.4122,0.1341,0.7172
0.3704,0.2068,0.6659,0.2401,0.7820
6.7929,11.2679,9.2502,12.2875,1.0000
0.0613,0.0705,0.0963,0.0685,0.6523
0.2703,0.2196,0.4471,0.2350,0.7514
0.2706,0.2201,0.4475,0.2352,0.7515
0.0342,0.0054,0.0705,0.0060,0.6299
0.0307,0.0010,0.0618,0.0011,0.6270
0.0307,0.0005,0.0618,0.0005,0.6269
0.0305,0.0003,0.0611,0.0004,0.6267
0.0343,0.0064,0.0723,0.0057,0.6302
0.0304,0.0020,0.0611,0.0024,0.6272
0.0304,0.0019,0.0615,0.0025,0.6273
0.0306,0.0017,0.0617,0.0023,0.6273
0.0306,0.0011,0.0614,0.0014,0.6270
0.0304,0.0007,0.0612,0.0006,0.6268
0.0304,0.0003,0.0607,0.0003,0.6266
0.0307,0.0004,0.0616,0.0003,0.6268
0.0307,0.0004,0.0616,0.0003,0.6268
0.0311,0.0018,0.0624,0.0018,0.6273
0.0308,0.0023,0.0616,0.0021,0.6273
0.0303,0.0025,0.0608,0.0031,0.6273
0.0339,0.0085,0.0697,0.0099,0.6307
0.0308,0.0014,0.0618,0.0018,0.6272
0.0309,0.0007,0.0622,0.0006,0.6270
0.0306,0.0010,0.0618,0.0008,0.6270
0.1530,0.2128,0.2233,0.2303,0.7134
0.0307,0.0008,0.0610,0.0008,0.6268
0.0307,0.0008,0.0610,0.0008,0.6268
0.0309,0.0017,0.0607,0.0017,0.6271
0.0311,0.0018,0.0611,0.0018,0.6272
0.0340,0.0041,0.0693,0.0049,0.6294
0.0312,0.0025,0.0609,0.0026,0.6273
0.0312,0.0025,0.0609,0.0026,0.6273
0.0304,0.0012,0.0602,0.0010,0.6268
0.0307,0.0012,0.0608,0.0007,0.6268
0.0386,0.0053,0.0777,0.0085,0.6318
0.0387,0.0060,0.0778,0.0096,0.6321
0.1748,0.0660,0.3539,0.0447,0.6936
0.1750,0.0665,0.3541,0.0454,0.6938
0.1686,0.1142,0.3899,0.1536,0.7169
0.1688,0.1138,0.3903,0.1532,0.7169
0.1662,0.0873,0.3168,0.0910,0.6965
0.1662,0.0873,0.3168,0.0910,0.6965
0.1223,0.0345,0.2480,0.0459,0.6723
0.1227,0.0342,0.2481,0.0452,0.6722
0.1837,0.0818,0.3913,0.0975,0.7078
0.1839,0.0817,0.3917,0.0970,0.7078
0.5174,0.6807,1.2944,0.7671,0.9091
0.5174,0.6813,1.2944,0.7671,0.9091
0.1200,0.0354,0.2165,0.0332,0.6662
0.1197,0.0357,0.2158,0.0334,0.6661
0.2422,0.2608,0.5896,0.2921,0.7748
0.1400,0.1472,0.3257,0.1800,0.7130
0.1400,0.1472,0.3257,0.1800,0.7130
0.1993,0.1556,0.4770,0.1254,0.7299
0.2833,0.2528,0.5617,0.4124,0.7895
0.0307,0.0009,0.0611,0.0009,0.6269
0.0310,0.0010,0.0617,0.0012,0.6271
0.0303,0.0008,0.0607,0.0012,0.6268
0.0301,0.0010,0.0607,0.0011,0.6268
0.0343,0.0085,0.0641,0.0072,0.6294
0.0298,0.0028,0.0591,0.0021,0.6269
0.0301,0.0019,0.0602,0.0016,0.6269
0.0306,0.0021,0.0619,0.0011,0.6271
0.0330,0.0052,0.0682,0.0068,0.6295
0.0333,0.0055,0.0685,0.0070,0.6297
0.0303,0.0002,0.0604,0.0003,0.6266
0.0306,0.0010,0.0605,0.0009,0.6268
0.1707,0.2429,0.2481,0.2645,0.7257
0.1707,0.2429,0.2481,0.2645,0.7257
0.4563,0.3215,0.9653,0.4695,0.8467
0.4563,0.3219,0.9656,0.4696,0.8467
0.8099,0.4885,1.7945,0.6655,0.9291
0.8099,0.4893,1.7945,0.6667,0.9292
0.5631,0.1935,1.1927,0.1150,0.8302
0.5630,0.1939,1.1930,0.1159,0.8303
0.6259,0.1514,1.1646,0.1748,0.8341
0.4814,0.1442,0.9676,0.2348,0.8136
0.4814,0.1442,0.9675,0.2348,0.8136
0.3614,0.2575,0.8389,0.3341,0.8118
0.3202,0.0913,0.6046,0.1002,0.7456
0.2686,0.1727,0.5315,0.2431,0.7576
0.2686,0.1724,0.5312,0.2431,0.7575
